System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
WASP-106 b,1.0,11.0,,,2023AJ....166..159H,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,9.28971,1e-05,,,11.433,3.363,1.62,0.94,0.0,0.0,,,,,13.79,0.44,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6055.0,136.0,1.31,0.38,0.93,0.8,-0.09,0.09,,,4.23,0.02,,,,,,,2018-04-25
WASP-107 b,118.0,28.5,,,2021AJ....161..119R,1,2,0,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,5.7214742,5.7214742,,,,,0.096,0.005,0.06,0.04,,,,,,,,,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,,4425.0,70.0,0.67,0.02,0.68,0.02,0.02,0.09,-0.879,0.01,4.63,0.01,3.4,0.7,,,17.0,1.0,2020-12-10
WASP-107 b,158.0,17.0,103.5,1.795,2023A+A...669A..63B,1,2,0,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,5.7214742,5.7214742,,,,,0.096,0.005,0.06,0.04,,,,,,,,,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,,4425.0,70.0,0.67,0.02,0.68,0.02,0.02,0.09,-0.879,0.01,4.63,0.01,3.4,0.7,,,17.0,1.0,2020-12-10
WASP-117 b,46.9,5.15,,,2021A+A...646A.168C,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.02165,0.00055,,,11.882,0.785,0.3,0.05,0.3,0.02,,,,,17.43,0.98,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6040.0,90.0,1.22,0.06,1.29,0.3,-0.11,0.11,,,4.28,0.16,,,,,,,2018-04-25
WASP-120 b,2.0,4.0,,,2024A+A...686A.147Z,1,1,0,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128f4401T/abstract target=ref>Turner et al. 2016</a>,3.6112706,4.3e-06,0.0514,0.0007,16.511,1.076,4.85,0.21,0.057,0.019999999999999997,,,1880.0,70.0,5.9,0.33,,,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128f4401T/abstract target=ref>Turner et al. 2016</a>,F5,6450.0,120.0,1.87,0.11,1.39,0.06,-0.05,0.07,,,4.04,0.05,2.6,0.5,15.1,1.2,,,2016-06-01
WASP-121 b,87.2,0.43,88.1,0.25,2020A+A...635A.205B,1,1,0,<a refstr=BOURRIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.205B/abstract target=ref>Bourrier et al. 2020</a>,1.27492504,1.45e-07,0.02596,0.00053,19.649,0.404,1.157,0.07,0.0,0.0,,,,,3.8131,0.00675,0.12355,0.00031,<a refstr=BOURRIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.205B/abstract target=ref>Bourrier et al. 2020</a>,,6586.0,59.0,1.46,0.03,1.36,0.07500000000000001,,,,,,,,,,,1.13,1.13,2022-08-01
WASP-127 b,128.4,5.55,,,2020A+A...644A.155A,2,1,0,<a refstr=SEIDEL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..45S/abstract target=ref>Seidel et al. 2020</a>,4.17806203,7.05e-07,0.0484,0.001155,14.695,0.3025,0.1647,0.019299999999999998,0.0,0.0,,,,,7.81,0.1,0.10103,0.000365,<a refstr=SEIDEL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..45S/abstract target=ref>Seidel et al. 2020</a>,,5750.0,100.0,1.33,0.03,0.95,0.02,,,,,,,,,,,,,2020-11-13
WASP-130 b,1.0,2.0,,,arXiv:2406.08558,1,1,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,11.55098,1e-05,0.1012,0.0014,9.976,0.336,1.23,0.04,0.0,0.0,,,833.0,18.0,,,,,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,G6,5625.0,90.0,0.96,0.03,1.04,0.04,0.26,0.1,,,4.49,0.02,2.0,2.0,0.5,0.5,,,2016-11-30
WASP-131 b,162.4,1.25,123.7,10.4,2023MNRAS.522.4499D,1,1,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,5.322023,5e-06,0.0607,0.0009,13.675,0.56,0.27,0.02,0.0,0.0,,,1460.0,30.0,,,,,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,G0,6030.0,90.0,1.53,0.05,1.06,0.06,-0.18,0.08,,,4.09,0.03,4.5,3.5,3.0,0.9,,,2016-11-30
WASP-139 b,85.6,5.95,,,arXiv:2406.18631,2,1,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,5.924262,4e-06,0.062,0.002,8.967,0.56,0.117,0.017,0.0,0.0,,,910.0,30.0,,,,,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,K0,5310.0,90.0,0.8,0.04,0.92,0.1,0.2,0.09,,,4.59,0.06,0.5,0.5,4.2,1.1,,,2016-11-30
WASP-148 b,8.2,9.2,,,2022ApJ...926L...8W,1,2,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.134A/abstract target=ref>Almenara et al. 2022</a>,8.803809,4.3e-05,0.08215,0.00118,8.474,0.16849999999999998,0.287,0.019,0.208,0.0225,,,,,19.33,0.41500000000000004,0.08498,0.00072,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.134A/abstract target=ref>Almenara et al. 2022</a>,,5555.0,90.0,0.91,0.01,0.95,0.04,0.099,0.078,-0.139,0.0215,4.5,0.025,3.6,3.35,,,,,2022-10-03
WASP-156 b,106.0,14.0,,,2023A+A...669A..63B,1,1,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,3.8361623,1.5e-06,0.0458,0.0008500000000000001,6.028,0.124,0.13152,0.00912,0.0,0.0,,,934.498327568,13.996633986900001,,,0.06684,0.00079,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,4987.0,56.5,0.83,0.01,0.87,0.03,0.305,0.058499999999999996,-0.418,0.023,4.54,0.02,5.6,3.55,,,,,2024-07-22
WASP-166 b,15.5,2.8499999999999996,,,2022MNRAS.516..298D,1,1,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,5.44354,4e-06,0.0641,0.0011,7.062,0.336,0.101,0.005,0.0,0.0,440.0,40.0,1270.0,30.0,11.3,0.6,,,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,F9 V,6050.0,50.0,1.22,0.06,1.19,0.06,0.19,0.05,,,4.34,0.05,2.1,0.9,5.1,0.3,12.1,0.9,2019-07-19
WASP-166 b,0.7,0.6,0.0,28.0,2023A+A...669A..63B,1,1,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,5.44354,4e-06,0.0641,0.0011,7.062,0.336,0.101,0.005,0.0,0.0,440.0,40.0,1270.0,30.0,11.3,0.6,,,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,F9 V,6050.0,50.0,1.22,0.06,1.19,0.06,0.19,0.05,,,4.34,0.05,2.1,0.9,5.1,0.3,12.1,0.9,2019-07-19
WASP-167 b,165.0,5.0,,,2017MNRAS.471.2743T,1,1,0,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,2.0219596,6e-07,0.0365,0.0006,17.71,0.56,8.0,8.0,,,,,2329.0,64.0,,,,,<a refstr=TEMPLE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.471.2743T/abstract target=ref>Temple et al. 2017</a>,F1 V,7000.0,250.0,1.79,0.05,1.59,0.08,0.1,0.1,,,4.13,0.02,1.29,0.315,49.94,0.04,1.81,1.81,2017-07-24
WASP-174 b,31.0,1.0,,,2018MNRAS.480.5307T,1,1,0,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,4.2337005,1.8e-06,0.05503,0.00056,16.107,0.56,0.33,0.091,0.0,0.0,901.9,39.45,1528.0,17.0,8.789,0.088,0.1098,0.003,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,,6399.0,68.0,1.35,0.02,1.24,0.04,0.06,0.06,0.436,0.025500000000000002,4.27,0.01,2.2,0.52,16.24,0.53,,,2022-01-24
WASP-178 b,105.7,3.9000000000000004,,,arXiv:2406.08348,1,1,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,3.3448285,1.2e-06,0.0558,0.001,20.288,1.009,1.66,0.12,0.0,0.0,,,2470.0,60.0,7.17,0.21,,,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,A1 IV-V,9360.0,150.0,1.67,0.07,2.07,0.11,0.21,0.16,,,4.31,0.04,,,8.2,0.6,,,2019-10-02
WASP-180 A b,157.0,2.0,,,2019MNRAS.490.2467T,2,1,0,<a refstr=TEMPLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.2467T/abstract target=ref>Temple et al. 2019</a>,3.409264,1e-06,0.048,0.001,13.899,0.448,0.9,0.1,0.0,0.0,,,1540.0,40.0,,,,,<a refstr=TEMPLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.2467T/abstract target=ref>Temple et al. 2019</a>,F7 V,6600.0,200.0,1.19,0.06,1.3,0.1,0.1,0.2,,,4.42,0.01,1.2,1.0,19.9,0.6,3.3,3.3,2019-09-20
WASP-189 b,90.07,0.24,,,arXiv:2403.08863,1,1,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,2.724033,2.724033,0.05053,0.00098,18.147,0.235,1.99,0.15000000000000002,0.0,0.0,,,3353.0,30.5,4.6,0.028,0.07045,0.00014,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,,8000.0,80.0,2.36,0.03,2.03,0.07,0.29,0.13,,,3.9,0.2,0.73,0.13,93.1,1.7,,,2022-03-16
WASP-190 b,21.0,6.0,,,2019AJ....157..141T,1,1,0,<a refstr=TEMPLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..141T/abstract target=ref>Temple et al. 2019</a>,5.367753,4e-06,0.0663,0.0008,12.89,1.009,1.0,0.1,0.0,0.0,,,1500.0,50.0,,,,,<a refstr=TEMPLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..141T/abstract target=ref>Temple et al. 2019</a>,F6 IV-V,6400.0,100.0,1.6,0.1,1.35,0.05,-0.02,0.05,,,4.17,0.04,,,13.3,0.6,,,2019-03-01
XO-3 b,37.3,3.0,,,2011PASJ...63L..57H,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.19154,0.00014,,,15.805,1.345,7.29,1.19,0.29,0.0,,,,,4.95,0.18,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6429.0,50.0,1.54,0.11,0.58,0.14,-0.18,0.18,,,3.95,0.06,,,,,,,2018-04-25
XO-4 b,46.7,7.1,,,2010PASJ...62L..61N,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.12508,4e-06,,,14.011,0.897,1.42,0.19,0.0,0.0,,,,,7.68,0.11,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6397.0,70.0,1.45,0.09,1.1,0.22,-0.04,0.04,,,4.18,0.03,,,,,,,2018-04-25
XO-6 b,20.7,2.3,,,2017AJ....153...94C,1,1,0,<a refstr=CROUZET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...94C/abstract target=ref>Crouzet et al. 2017</a>,3.7650007,8.1e-06,0.0815,0.0077,23.203,2.466,4.4,4.4,0.0,0.0,,,1577.0,28.0,9.08,0.17,0.11,0.006,<a refstr=CROUZET_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...94C/abstract target=ref>Crouzet et al. 2017</a>,F5,6720.0,100.0,1.93,0.18,1.47,0.06,-0.07,0.1,,,4.04,0.1,1.88,0.55,48.0,3.0,,,2016-12-20
